CustomerID,CustomerName,Age,AgeCategory,Gender,Country,Rating,PurchaseValue,EngagementScore
C0074,Alicia Combs,23,Young,Female,France,3.8,403.43,82.0
C0075,Brandi Bell,59,Senior,Female,Australia,4.1,379.96,75.9
C0076,Dr. Michael Ramirez,21,Young,Male,USA,4.0,120.83,57.6
C0077,Donna Landry,46,Adult,Male,Pakistan,4.7,169.15,63.7
C0078,Joseph Robbins,35,Adult,Male,USA,2.1,364.9,66.6
C0079,Julie Smith,43,Adult,Female,UK,2.1,10.0,66.9
C0080,Kenneth Avila,61,Senior,Female,India,3.5,232.07,83.0
C0081,Amber Ellis,51,Senior,Male,Germany,4.6,78.3,76.6
C0082,Angela Brown,27,Young,Female,Australia,2.7,192.81,100.0
C0083,Gregory Rowe,53,Senior,Male,France,1.7,214.14,100.0
C0084,Colin Morton,31,Adult,Female,UK,4.2,207.01,66.4
C0085,Curtis Lee,48,Adult,Female,UK,4.0,183.73,10.0
C0086,Jessica Jenkins,65,Senior,Female,UK,3.0,118.34,87.3
C0087,Dana Andrews,32,Adult,Female,UK,3.1,525.03,55.3
C0088,Jeremy Case,25,Young,Female,USA,3.1,474.1,50.6
C0089,Amy Ingram,31,Adult,Male,UK,3.9,110.55,57.8
C0090,Jared Leblanc,40,Adult,Female,Germany,3.4,439.85,57.0
C0091,Wendy Mckee,57,Senior,Male,Pakistan,4.1,202.06,76.0
C0092,Dawn Moore PhD,38,Adult,Female,Pakistan,1.8,265.5,36.9
C0093,Brandi Charles,33,Adult,Female,Pakistan,3.2,242.41,45.6
C0094,Louis Adams,62,Senior,Female,USA,3.0,170.83,71.2
C0095,Michael Bailey,35,Adult,Male,USA,3.6,368.06,76.2
C0096,Katherine Jackson,64,Senior,Female,Pakistan,3.4,265.11,76.5
C0097,Peter Young,70,Senior,Female,Germany,4.4,192.81,50.8
C0098,Michael Hernandez,41,Adult,Female,USA,2.5,93.45,47.4
C0099,Tom Mullen,43,Adult,Male,India,3.8,142.77,55.9
C0100,Laura Pitts,42,Adult,Male,India,4.2,53.03,69.3
C0101,Linda Brandt,62,Senior,Male,France,5.0,251.47,91.7
C0102,Jason Johnson,58,Senior,Male,USA,3.5,106.4,28.1
C0103,Brittany Bailey,46,Adult,Female,India,4.0,218.13,61.0
C0104,Justin Wright,32,Adult,Male,France,2.5,414.41,41.0
C0105,Gina Green,62,Senior,Female,India,2.1,393.92,35.3
C0106,Theresa Chavez,18,Young,Male,India,4.4,246.13,82.4
C0107,Patrick Weber,42,Adult,Male,India,3.8,239.55,74.8
C0108,Isabella Horton,24,Young,Female,Germany,4.6,475.58,73.1
C0109,Jose Dickson,26,Young,Female,USA,2.8,312.49,81.6
C0110,Annette Goodwin,41,Adult,Male,Pakistan,4.2,210.66,56.4
C0111,Matthew Rogers,18,Young,Female,Pakistan,5.0,78.88,57.2
C0112,Patricia Herrera,61,Senior,Female,Pakistan,4.1,297.26,100.0
C0113,Nancy Jones,25,Young,Male,USA,4.0,349.52,60.6
C0114,Alexandria Simmons,41,Adult,Female,USA,3.8,174.2,78.2
C0115,Todd Johnson,28,Young,Female,Canada,2.7,284.94,65.1
C0116,Michelle Martinez,68,Senior,Female,Pakistan,4.7,206.37,31.7
C0117,Scott Rogers,34,Adult,Male,Canada,3.4,227.92,28.2
C0118,Kristen Scott,25,Young,Female,India,4.2,10.0,54.6
C0119,Mark Potter,52,Senior,Male,France,2.7,223.39,84.0
C0120,Michael Stephens,52,Senior,Male,Pakistan,3.0,366.32,79.2
C0121,Michelle Krueger,50,Senior,Male,Canada,4.8,174.23,81.5
C0122,Olivia Taylor,22,Young,Male,France,3.6,256.3,47.2
C0123,Rebecca Rodriguez,59,Senior,Female,Pakistan,4.8,159.29,94.1
C0124,Jasmine Rodriguez,56,Senior,Female,USA,3.7,293.25,47.6
C0125,Danielle Chavez,58,Senior,Female,Germany,2.5,224.02,68.8
C0126,Michael Powell,45,Adult,Male,Pakistan,4.4,137.29,64.8
C0127,Daniel Parker,24,Young,Male,UK,3.4,409.91,61.9
C0128,Philip Wilcox,26,Young,Male,USA,4.3,361.47,89.1
C0129,Brittany Long,25,Young,Female,UK,3.8,177.41,52.3
C0130,Christopher Carey,29,Young,Male,UK,2.7,309.73,40.7
C0131,Joshua Sanchez,51,Senior,Female,USA,3.9,314.49,65.4
C0132,Tanya Massey,50,Senior,Female,Germany,5.0,327.08,57.8
C0133,Michael Diaz,65,Senior,Male,Canada,4.1,46.69,100.0
C0134,Mercedes Lindsey,40,Adult,Female,Germany,3.8,370.79,77.2
C0135,Valerie Spencer,41,Adult,Male,USA,4.6,181.64,57.6
C0136,Kimberly Clark,54,Senior,Female,USA,3.9,207.06,46.0
C0137,Adam Pruitt,52,Senior,Female,Pakistan,3.9,566.55,31.2
C0138,Leslie Roberts,61,Senior,Male,UK,3.0,286.22,46.5
C0139,Joshua Hart,57,Senior,Male,India,4.0,203.64,67.1
C0140,Karen Wright,39,Adult,Female,Pakistan,4.5,10.0,90.7
C0141,Anthony Johnston,44,Adult,Female,India,3.2,416.77,85.2
C0142,Steven Kim,52,Senior,Male,UK,4.8,88.57,69.1
C0143,Jennifer Robinson,18,Young,Female,Pakistan,3.7,129.59,59.2
C0144,Brian Joseph,52,Senior,Female,UK,3.2,210.24,69.8
C0145,Katherine Jones,54,Senior,Female,Canada,4.5,419.97,55.7
C0146,Robert Cohen,64,Senior,Male,Pakistan,3.6,342.79,95.9
C0147,Willie Gonzalez,31,Adult,Female,UK,4.3,231.06,61.6
C0148,Tamara Zimmerman,20,Young,Female,UK,3.6,287.0,63.4
C0149,Marissa Roberts,18,Young,Male,USA,3.8,177.95,25.1
C0150,Jeffrey Martinez,22,Young,Male,Pakistan,4.1,266.76,61.5
C0151,Emily Brennan,43,Adult,Female,USA,4.0,258.8,80.1
C0152,Trevor Garcia,31,Adult,Male,France,2.4,366.25,45.8
C0153,John Ellis,56,Senior,Female,UK,3.0,366.06,51.5
C0154,Samuel Harris,44,Adult,Male,Pakistan,4.5,309.28,79.3
C0155,Roger Schneider,26,Young,Male,India,3.7,206.52,38.4
C0156,Kimberly Stevenson,32,Adult,Female,India,3.4,339.02,84.0
C0157,Michael Yang,32,Adult,Male,India,2.8,238.96,55.4
C0158,Jose Ruiz,43,Adult,Male,USA,3.0,120.17,58.0
C0159,Matthew Mendoza,59,Senior,Male,USA,2.4,201.61,44.8
C0160,Bradley Miller,30,Adult,Female,Pakistan,3.7,260.14,71.8
C0161,Mrs. Kaylee Casey,68,Senior,Male,UK,3.4,359.23,100.0
C0162,Ruben Harmon,49,Adult,Male,Germany,3.1,227.98,79.1
C0163,Shawn Jackson,56,Senior,Female,USA,3.8,104.9,49.4
C0164,Nicholas Thornton,66,Senior,Male,UK,4.1,256.81,85.4
C0165,Mark Smith,69,Senior,Female,USA,5.0,263.61,59.3
C0166,Julie Edwards,49,Adult,Male,Canada,2.7,272.3,89.7
C0167,John Willis,21,Young,Female,UK,4.6,360.38,79.5
C0168,Cheryl Rodriguez,47,Adult,Male,France,4.5,372.27,12.0
C0169,Veronica Fleming,54,Senior,Female,USA,3.3,178.69,46.9
C0170,Paul Watkins,40,Adult,Male,Pakistan,3.9,176.06,82.0
C0171,Katie Green,56,Senior,Male,UK,3.5,125.18,67.7
C0172,James Cooper,62,Senior,Male,Canada,3.9,333.86,46.6
C0173,Joan Black,32,Adult,Male,Canada,4.9,423.86,53.6
C0174,Michele Smith,60,Senior,Male,UK,4.2,212.19,30.7
C0175,Daniel Green,46,Adult,Male,Canada,4.2,221.03,63.4
C0176,John Zimmerman,53,Senior,Female,Australia,3.5,426.01,100.0
C0177,James Malone,30,Adult,Male,India,2.8,310.67,79.5
C0178,Donald Jacobs,49,Adult,Male,India,3.7,302.35,100.0
C0179,Victoria Meyer,24,Young,Female,UK,4.6,107.09,80.9
C0180,John Kane,68,Senior,Female,France,2.7,331.45,83.5
C0181,Gerald Sanchez,39,Adult,Male,USA,3.1,138.5,100.0
C0182,Joshua Moreno,45,Adult,Male,USA,3.9,113.92,71.8
C0183,Joseph Wilson,19,Young,Male,Australia,3.1,208.39,61.6
C0184,Jamie Robinson,59,Senior,Female,UK,3.2,179.7,83.6
C0185,Dana Jackson,62,Senior,Female,Pakistan,3.5,223.41,91.2
C0186,Debra Underwood,70,Senior,Male,India,2.8,77.08,56.4
C0187,Katherine Adams,23,Young,Female,India,3.1,365.06,52.0
C0188,Jessica Callahan,45,Adult,Female,Australia,4.3,385.32,67.5
C0189,Tiffany Kane,45,Adult,Female,UK,2.9,16.32,80.0
C0190,Brandon Monroe,61,Senior,Female,USA,2.7,367.41,79.4
C0191,April Fox,61,Senior,Male,Germany,3.4,152.74,39.4
C0192,Joseph Bennett,37,Adult,Male,USA,4.3,352.84,99.4
C0193,Rachel Barajas,47,Adult,Male,USA,3.7,241.79,53.5
C0194,Grant Marshall,28,Young,Male,UK,3.5,253.45,60.2
C0195,Brandon Dean,45,Adult,Female,India,3.8,227.79,48.8
C0196,Joanna Mcbride,42,Adult,Female,France,2.6,395.46,100.0
C0197,Courtney Wilson,56,Senior,Male,UK,4.1,101.25,69.4
C0198,Jay Taylor,50,Senior,Male,Pakistan,4.1,322.94,49.7
C0199,Debra Hopkins,18,Young,Male,UK,3.5,382.16,80.6
C0200,Andrea Porter,44,Adult,Female,USA,4.5,335.96,78.8
C0201,Jeffrey Mccormick,69,Senior,Male,India,3.0,528.96,61.6
C0202,Matthew Jacobs,30,Adult,Male,Pakistan,4.6,186.53,80.1
C0203,Kurt Moore,58,Senior,Male,India,3.9,364.88,50.1
C0204,Richard Lewis,20,Young,Male,USA,3.6,237.27,56.1
C0205,Jose Cook,56,Senior,Female,India,3.8,398.01,28.8
C0206,Linda Alexander,23,Young,Female,France,3.7,249.08,41.2
C0207,Cassandra Lawson,25,Young,Male,France,4.7,203.45,97.5
C0208,Deborah Grimes,44,Adult,Female,Pakistan,3.0,406.73,94.5
C0209,Suzanne Smith,26,Young,Female,India,3.3,191.01,66.2
C0210,Nicholas Mendoza,54,Senior,Female,France,4.5,80.47,94.9
C0211,Stephanie Smith,50,Senior,Male,France,3.4,187.98,62.1
C0212,Mary Morgan,68,Senior,Male,Australia,4.4,324.28,60.6
C0213,Margaret Parks,59,Senior,Male,India,5.0,417.04,66.0
C0214,Brandon Wright,61,Senior,Female,Germany,3.5,263.34,62.8
C0215,Debra Deleon,41,Adult,Male,Pakistan,4.3,408.18,61.1
C0216,Theodore Haas,32,Adult,Male,UK,3.0,87.02,85.6
C0217,James Hood,49,Adult,Male,UK,4.3,196.81,67.7
C0218,Nicholas Clark,49,Adult,Female,France,3.9,215.37,77.8
C0219,Amy Gill,41,Adult,Male,Canada,4.1,236.25,83.6
C0220,Joseph Mclaughlin,58,Senior,Female,Canada,3.3,260.09,72.0
C0221,Keith Hernandez,69,Senior,Female,UK,2.6,332.91,47.5
C0222,Tracey Griffin,66,Senior,Male,France,4.2,196.62,40.6
C0223,Ricardo Whitaker,66,Senior,Female,USA,2.4,266.68,67.7
C0224,Derek Anderson,69,Senior,Male,Australia,3.6,244.59,61.9
C0225,Michelle Holmes,29,Young,Female,Australia,4.5,138.89,66.6
C0226,Stephanie Cox,56,Senior,Male,Pakistan,3.9,236.36,64.7
C0227,Anthony Miller,19,Young,Female,India,5.0,232.76,100.0
C0228,Andrea Tyler,20,Young,Female,Pakistan,4.5,230.19,41.1
C0229,Craig Greer,66,Senior,Female,France,3.3,253.81,29.2
C0230,Kimberly Simpson,54,Senior,Female,USA,3.8,259.08,71.0
C0231,Sarah Fuller,66,Senior,Male,Germany,3.8,198.12,58.2
C0232,Frank Watts,34,Adult,Female,Pakistan,2.7,402.73,70.7
C0233,Eric Rose,66,Senior,Female,Pakistan,3.1,109.66,75.5
C0234,Laura Taylor,19,Young,Female,UK,3.4,163.48,88.1
C0235,John Rodriguez,19,Young,Male,Canada,2.4,583.6,37.9
C0236,Cody Diaz,45,Adult,Female,USA,3.8,125.44,55.0
C0237,Darryl Brewer,40,Adult,Female,Germany,3.6,87.55,72.7
C0238,Robert Johnson,54,Senior,Female,Pakistan,2.6,338.14,78.9
C0239,Jacqueline Goodwin,49,Adult,Male,Pakistan,4.1,10.0,100.0
C0240,Sandra Freeman,50,Senior,Female,Pakistan,4.3,221.77,82.2
C0241,Sue Moyer,18,Young,Male,UK,4.0,507.5,64.0
C0242,Cesar Munoz MD,36,Adult,Female,USA,3.6,64.61,49.0
C0243,Melissa Davis,19,Young,Male,Pakistan,4.2,12.16,54.8
C0244,Maureen Knight,70,Senior,Female,France,4.3,70.1,54.3
C0245,Sherry Washington,61,Senior,Female,USA,4.0,357.8,76.8
C0246,Lance Smith,43,Adult,Male,Pakistan,3.2,384.97,69.6
C0247,John Watts,49,Adult,Female,Germany,4.0,188.49,41.2
C0248,April Collier,23,Young,Male,Pakistan,4.6,331.99,57.2
C0249,Dustin Brown,49,Adult,Female,India,3.4,416.83,80.8
C0250,Darren Reyes,21,Young,Female,USA,5.0,464.48,71.3
C0251,Misty Blanchard,28,Young,Female,USA,3.4,220.44,75.2
C0252,Monica Phillips,34,Adult,Female,India,3.8,10.0,71.9
C0253,Anthony Joseph,55,Senior,Female,France,3.3,151.49,94.3
C0254,Kristin Brown,41,Adult,Male,Pakistan,4.0,198.78,69.2
C0255,Billy Hebert,22,Young,Male,India,2.6,218.93,58.1
C0256,James Collins,69,Senior,Female,India,3.4,227.46,48.5
C0257,Mariah Scott,51,Senior,Female,Australia,3.0,384.27,69.5
C0258,Jerry Obrien,23,Young,Female,France,3.9,402.93,21.1
C0259,Jordan Roman,39,Adult,Female,Germany,4.5,229.4,61.7
C0260,Autumn Bruce,28,Young,Male,Germany,4.3,381.82,61.3
C0261,Joshua Phillips,65,Senior,Female,USA,2.1,292.92,40.4
C0262,Anna Grimes,33,Adult,Male,France,5.0,257.74,48.3
C0263,Marc Gay,50,Senior,Female,UK,4.0,358.79,79.6
C0264,Rachel Martinez,26,Young,Male,Canada,3.3,258.67,69.2
C0265,Tiffany Rodriguez,23,Young,Male,France,3.9,496.94,66.8
C0266,Patricia Marshall,33,Adult,Male,France,3.9,77.39,70.5
C0267,Rachel Reese,46,Adult,Male,UK,3.3,188.18,66.7
C0268,Michael Logan,20,Young,Female,USA,3.9,234.82,87.4
C0269,Tanya Russell,37,Adult,Male,USA,3.4,302.73,67.2
C0270,Douglas Freeman,53,Senior,Male,Germany,3.5,402.16,38.8
C0271,Veronica Lopez,36,Adult,Male,USA,3.3,247.07,94.3
C0272,Jessica Avila,43,Adult,Male,France,2.8,79.33,71.7
C0273,Sean Becker,20,Young,Male,Canada,3.9,351.1,54.4
C0274,Judy Fernandez,36,Adult,Male,Canada,4.2,340.6,42.4
C0275,Tina Sloan,37,Adult,Female,Pakistan,4.2,16.98,72.1
C0276,James Young,49,Adult,Female,USA,4.4,249.54,62.9
C0277,Kimberly Reese,24,Young,Female,India,4.0,59.18,93.3
C0278,Roger Higgins,69,Senior,Male,Canada,3.4,170.24,58.8
C0279,Bryan Khan,58,Senior,Male,USA,4.4,141.66,49.9
C0280,Derrick Schwartz,50,Senior,Female,Pakistan,2.8,347.11,81.1
C0281,Mrs. Mary Bartlett,57,Senior,Male,UK,3.2,264.02,81.7
C0282,Elizabeth Mendoza,56,Senior,Male,India,3.1,95.73,68.0
C0283,Kevin Shields,35,Adult,Male,Australia,4.6,355.61,77.2
C0284,Jason Martin,57,Senior,Male,USA,4.5,77.94,64.3
C0285,Nicole Cannon,18,Young,Male,Canada,4.1,289.61,69.2
C0286,Victoria Ortiz,28,Young,Male,Pakistan,4.6,152.32,86.0
C0287,Cristina Clark,45,Adult,Female,Australia,3.2,206.12,76.3
C0288,Dennis Jennings,42,Adult,Female,Germany,4.0,310.51,62.0
C0289,Mr. Zachary Lowery,67,Senior,Female,India,3.7,312.57,89.3
C0290,David Taylor,40,Adult,Female,USA,4.4,410.44,22.4
C0291,Lisa Hall,48,Adult,Female,UK,3.7,240.13,100.0
C0292,Amy Tucker,47,Adult,Female,USA,3.5,286.77,34.3
C0293,Lynn Bennett,59,Senior,Female,Australia,4.2,197.47,53.7
C0294,Wanda Carter,52,Senior,Male,India,4.4,271.84,64.3
C0295,Carl Wilcox,24,Young,Male,India,3.3,302.74,62.4
C0296,Cheryl Stewart,33,Adult,Male,Canada,3.8,238.2,83.1
C0297,David Maxwell,43,Adult,Female,USA,3.1,33.55,46.0
C0298,Nicole Curtis,65,Senior,Female,UK,2.1,289.78,69.7
C0299,Karen Lang,69,Senior,Male,USA,3.9,293.75,54.6
C0300,Brian Conner,66,Senior,Female,USA,4.2,168.38,70.3
C0301,Jeffrey Patterson,19,Young,Male,UK,4.0,95.87,63.8
C0302,Amber Williamson,18,Young,Female,Germany,2.4,427.11,66.7
C0303,Sarah Allison,65,Senior,Male,UK,3.6,308.97,55.1
C0304,Rachel Vazquez,29,Young,Male,USA,2.2,222.51,55.8
C0305,Dwayne York,22,Young,Male,USA,4.8,113.56,70.2
C0306,Tiffany Montgomery,54,Senior,Male,USA,3.0,151.38,82.0
C0307,Preston Blackwell,49,Adult,Male,Australia,4.7,406.31,54.2
C0308,Miranda Fleming,26,Young,Male,India,4.5,266.52,49.4
C0309,Pamela Farrell,58,Senior,Female,Australia,3.2,183.93,76.0
C0310,Donna Powell,52,Senior,Female,Germany,3.0,311.16,64.4
C0311,Roy Moran,36,Adult,Male,UK,4.0,152.27,79.9
C0312,Victor Guerrero,65,Senior,Female,India,3.2,430.1,48.7
C0313,Monique Berg,33,Adult,Female,UK,3.9,412.34,33.0
C0314,David Bolton,20,Young,Male,UK,3.5,194.01,55.4
C0315,Roberta Nguyen,37,Adult,Male,UK,2.6,174.56,51.2
C0316,David Rodriguez,41,Adult,Male,USA,2.2,10.0,63.6
C0317,Evan Cruz,50,Senior,Male,UK,4.0,72.21,53.5
C0318,Heidi Gibbs,41,Adult,Female,UK,3.4,89.26,78.3
C0319,Jeffrey Nash,69,Senior,Male,Pakistan,3.4,266.22,59.8
C0320,Kyle Johnson,28,Young,Female,USA,4.3,210.85,67.7
C0321,Henry Bennett,66,Senior,Female,USA,4.6,88.56,67.8
C0322,Jeremiah Holt,25,Young,Male,India,3.6,216.26,68.5
C0323,Thomas Kim,53,Senior,Female,USA,3.6,310.64,64.6
C0324,Meredith Jennings,55,Senior,Male,UK,4.2,313.34,74.2
C0325,Jennifer Cruz,57,Senior,Female,India,2.9,22.04,50.7
C0326,Adam Conley,37,Adult,Male,USA,4.0,234.61,90.2
C0327,Stephanie Forbes,52,Senior,Female,USA,4.2,84.0,60.7
C0328,Trevor Anderson,65,Senior,Female,Germany,4.3,358.21,41.4
C0329,Stephen Patel,42,Adult,Male,UK,2.4,344.1,68.4
C0330,Ricky Ramirez,52,Senior,Female,France,3.3,142.24,49.7
C0331,Donald Sandoval,42,Adult,Female,India,3.2,158.07,77.0
C0332,Howard Anderson,46,Adult,Female,USA,3.9,194.65,100.0
C0333,Jose Miller,35,Adult,Female,France,4.1,10.0,50.8
C0334,Andrew Lynch,63,Senior,Female,Germany,4.8,290.32,71.0
C0335,Scott Jensen,35,Adult,Male,USA,3.5,217.26,33.4
C0336,Ryan Martin,19,Young,Male,Pakistan,3.5,366.42,73.2
C0337,Aaron Blackwell,52,Senior,Female,UK,4.6,118.19,49.1
C0338,Gregory Dougherty,33,Adult,Male,Germany,4.0,175.71,53.8
C0339,Fernando Cooper,58,Senior,Female,USA,4.7,69.22,45.2
C0340,Brittany Lee,53,Senior,Female,Germany,4.0,129.49,78.2
C0341,Brian Gonzales,50,Senior,Male,UK,3.0,108.16,83.1
C0342,Tina Stephens,21,Young,Male,India,2.9,369.52,65.4
C0343,Becky King,50,Senior,Female,USA,2.7,166.21,49.4
C0344,Jennifer Baker,31,Adult,Male,Germany,4.3,264.9,93.6
C0345,Janice Myers,38,Adult,Female,Germany,4.6,204.31,51.5
C0346,Brittany Tran,65,Senior,Male,Pakistan,5.0,97.66,26.1
C0347,Melissa Leach,37,Adult,Female,France,4.4,229.8,73.3
C0348,Kaitlyn Harper,25,Young,Male,Pakistan,4.6,321.89,45.1
C0349,Yolanda Atkins,24,Young,Female,India,3.4,105.07,82.8
C0350,Anna Clark,20,Young,Male,India,3.0,347.09,58.1
C0351,Lawrence Flores,34,Adult,Female,UK,4.4,148.03,75.9
C0352,Destiny Peterson,50,Senior,Male,France,4.1,192.04,90.2
C0353,Lauren Powers,65,Senior,Female,India,3.9,313.68,43.2
C0354,Brian Grant,29,Young,Female,Australia,4.1,170.39,54.8
C0355,Anthony Glover,68,Senior,Male,Canada,4.0,254.51,63.6
C0356,Curtis Cooke,39,Adult,Male,UK,4.7,212.24,92.7
C0357,Dillon Wright,39,Adult,Male,USA,4.7,265.52,53.1
C0358,Yvonne Hunt,63,Senior,Female,Germany,4.2,10.0,54.3
C0359,Edward Chapman,47,Adult,Female,Pakistan,4.4,30.44,73.6
C0360,Kimberly Becker,55,Senior,Female,Germany,4.2,323.92,54.6
C0361,Linda Dixon,55,Senior,Male,Germany,3.5,374.46,67.7
C0362,David Cruz,62,Senior,Male,India,4.3,140.74,37.1
C0363,Kyle Griffin,68,Senior,Female,UK,2.8,220.72,100.0
C0364,Marc Brown,25,Young,Male,India,4.5,285.37,40.7
C0365,Vincent Torres,44,Adult,Female,Germany,3.0,333.19,59.2
C0366,Lauren Logan,44,Adult,Male,UK,4.0,10.0,64.4
C0367,Faith Reed,51,Senior,Female,Germany,3.2,143.68,99.4
C0368,Mark Buckley,38,Adult,Male,India,4.2,210.09,41.2
C0369,Brittany Holt,47,Adult,Male,USA,3.8,334.38,100.0
C0370,Joshua Donovan,50,Senior,Female,USA,2.7,549.81,78.6
C0371,Robert Golden,45,Adult,Female,Australia,4.1,222.64,72.5
C0372,Rodney Coleman,64,Senior,Female,USA,3.4,81.16,47.3
C0373,Gordon Huber,50,Senior,Male,France,4.4,298.27,75.3
C0374,Nicholas Schultz,22,Young,Male,France,3.8,408.52,52.0
C0375,Erica Snow,65,Senior,Female,Germany,4.1,262.96,87.8
C0376,Wesley Landry,36,Adult,Female,Pakistan,3.1,141.2,47.5
C0377,Christopher Parker,21,Young,Male,UK,3.4,364.96,63.0
C0378,Shannon Young,52,Senior,Male,France,3.5,329.63,55.0
C0379,Erica Gaines,66,Senior,Male,UK,4.4,126.87,47.2
